,TrialID,Public_title,Intervention,intervention_type
502,ChiCTR2000030819,"Retrospective analysis of digestive system symptoms in 600 cases of novel coronavirus pneumonia (COVID-19) in Guanggu district, Wuhan",Case series:Nil,
503,ChiCTR2000030818,A medical records based study for the value of Lymphocyte subsets in the diagnose and treatment of novel coronavirus pneumonia (COVID-19),Case series:none,
504,ChiCTR2000030817,Multicenter clinical study of evaluation of multi-organ function in patients with novel coronavirus pneumonia (COVID-19) by ultrasound,Light group:N/ACommon group:N/ASevere group:N/ACritical group:N/A,
505,ChiCTR2000030704,Observation Of Clinical Efficacy And Safety Of Bufonis Venenum Injection In The Treatment Of Severe Novel Coronavirus Pneumonia (COVID-19),Experimental group:Bufonis venenum injectioncontrol group:NS,
506,ChiCTR2000030702,Plasma of the convalescent in the treatment of novel coronavirus pneumonia (COVID-19) common patient: a prospective clinical trial,eperimental group:Conventional treatment and convalescent plasma therapycontrol group:conventional treatment,
507,ChiCTR2000030697,"A multi-center, open-label observation study for psychological status and intervention efficacy of doctors, nurses, patients and their families in novel coronavirus pneumonia (COVID-19) designated hospitals",Case series:NA,
508,ChiCTR2000030686,The effects of prevention and control measures on treatment and psychological status of cancer patients during the novel coronavirus pneumonia (COVID-19) outbreak,tumor patients group:no,
509,ChiCTR2000030803,Collection and analysis of clinical data in severe and critically ill patients with novel coronavirus pneumonia (COVID-19),severe patients:none,
510,ChiCTR2000030802,A retrospective study of clinical drug therapy in patients with novel coronavirus pneumonia (COVID-19),Case series:Nil,
511,ChiCTR2000030679,Cohort study of Novel Coronavirus Infected Diseases (COVID-19) in children,case series:N/A,
512,ChiCTR2000030606,Medical records based study for the correlation between Chinese medicine certificate and lung image of novel coronavirus pneumonia (COVID-19),Chinese medicine treatment cohort:traditional Chinese medicineIntegrated Chinese and western medicine treatment cohort:Chinese medicine and western medicineWestern medicine treatment cohort:western medicine,
513,ChiCTR2000030801,Analysis of risk factors affecting prognosis of elderly patients infected with novel coronavirus pneumonia (COVID-19): a single-center retrospective observational study,discharge group:no,
516,ChiCTR2000030784,A study for clinical characteristics of novel coronavirus pneumonia (COVID-19) patients follow-up in Guangxi,Case series:No,
517,ChiCTR2000030768,Study for the Psychological Status of Medical Staff of Otolaryngology Head and Neck Surgery in Hubei Province under the Epidemic of novel coronavirus pneumonia (COVID-19),Case series:no,
519,ChiCTR2000030751,Clinical Research for Traditional Mongolian Medicine in the treatment of novel coronavirus pneumonia (COVID-19),Case series:Traditional Mongolian Medicine,
520,ChiCTR2000030750,A clinical study for effectiveness and safety evaluation for recombinant chimeric COVID-19 epitope DC vaccine in the treatment of novel coronavirus pneumonia,common type :Immunotherapy with recombinant chimeric DC vaccineLatent period group:Immunotherapy with recombinant chimeric DC vaccineNormal control group:Immunotherapy with recombinant chimeric DC vaccineBlank vaccine control group:0.9%NS,
521,ChiCTR2000030718,Randomized controlled trial for Chloroquine Phosphate in the Treatment of novel coronavirus pneumonia (COVID-19),Experimental group:chloroquine phosphate Control group:none,
522,ChiCTR2000030717,A medical records based study for risk assessment and treatment timing of invasive fungal infection in novel coronavirus pneumonia (COVID-19) critical patients,Exposed group:Prophylactic antifungal therapyControl group:Diagnostic antifungal therapy,
523,ChiCTR2000030716,Shedding of SARS-CoV-2 in human semen and evaluation of reproductive health of novel coronavirus pneumonia (COVID-19) male patients,in hospital:Virus detection in semenRecovered:Hormones and sperm quality,
524,ChiCTR2000030701,"A randomized, parallel controlled open-label trial for the efficacy and safety of Prolongin (Enoxaparin Sodium Injection) in the treatment of adult patients with novel coronavirus pneumonia (COVID-19)","experimental group:Based on the standard treatment recommended in the guidelines, a combination of Prolongin (Enoxaparin Sodium Injection) was used.control group:Follow the guidelines for standard treatment.",
525,ChiCTR2000029976,The effect of Gymnastic Qigong Yangfeifang on functional recovery and quality of life in patients with mild novel coronavirus pneumonia (COVID-19),experimental group:Fitness Qigong Yangfei prescriptioncontrol group:general advice and related psychological comfort.,
526,ChiCTR2000030700,Study for the efficacy and safety of Prolongin (Enoxaparin Sodium Injection) in treatment of novel coronavirus pneumonia (COVID-19) adult common patients,"experimental group:Based on the standard treatment recommended in the guidelines, a combination of Prolongin (Enoxaparin Sodium Injection) was used.control group:Follow the guidelines for standard treatment.",
527,ChiCTR2000030683,The prediction value of prognosis of novel coronavirus pneumonia (COVID-19) in elderly patients by modified early warning score (MEWS): a medical records based retrospective observational study,Gold Standard:Clinical outcomesIndex test:MEWS&#32and&#32other&#32scores,
529,ChiCTR2000030681,An anaesthesia procedure and extubation strategy for reducing patient agitation and cough after extubation that can be used to prevent the spread of Novel Coronavirus Pneumonia (COVID-19) and other infectious viruses in the operating Room,"Group A:Sevoflurane anesthesia maintenance, common extubationGroup B:Sevoflurane anesthesia was maintained, and the extubation strategy of ""circulatory induced respiration"" was adopted after the operation.Group C:Propofol anesthesia maintenance, common extubationGroup D:Propofol anesthesia was maintained, and the extubation strategy of ""circulatory induced respiration"" was adopted after the operation.",
